"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2TH65lNHgvLxCKXM3apjxI","Callaita","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:0GM7qgcRCORpGnfcN2tCiB","Bad Bunny, Tainy","spotify:album:06S3Qjh4QWLtn6c7CVhYh7","Callaita","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:0GM7qgcRCORpGnfcN2tCiB","Bad Bunny, Tainy","2019-05-31","https://i.scdn.co/image/ab67616d0000b2734aef420e62863ebf622c27f5","1","1","250533","https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","spotify:user:mr_shek","2022-02-08T07:45:39Z"
"spotify:track:6Hx7kdHB9kGdxnw2EwSx2V","Million Bucks","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","spotify:album:1k6yLyqohaHQBBg13jkrtK","Million Bucks","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","2017-06-09","https://i.scdn.co/image/ab67616d0000b27399650106545ea6d32b63fea2","1","1","239893","https://p.scdn.co/mp3-preview/fd9f5dff9ca7809e9992a4de30b2e7e30bd0fe9e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:mr_shek","2022-02-08T07:45:47Z"
"spotify:track:3OYiIQhHc5xNQsdV3jcbSv","Blue Hundreds","spotify:artist:6QCd5jmXOjrOBVzxSiLGqc","Holy Mattress Money","spotify:album:1Z3yFZjM5JqXwiq7TrJXtX","Blue Hundreds","spotify:artist:6QCd5jmXOjrOBVzxSiLGqc","Holy Mattress Money","2017-09-11","https://i.scdn.co/image/ab67616d0000b27364b8d376ed3e545de9634b3a","1","1","216000","https://p.scdn.co/mp3-preview/6dd88007dc7e2e16782f7790e9294911154b1386?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:mr_shek","2022-02-08T07:46:07Z"
"spotify:track:3reay7NBijCy7n8xVLpDL8","Passenger Side","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","spotify:album:66EB9AXsnWvjqLHkbEFHAe","Passenger Side","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","2017-07-21","https://i.scdn.co/image/ab67616d0000b27377a88a76b5afc2365b6ac154","1","1","221746","https://p.scdn.co/mp3-preview/63be9849fa5b18d6f9669d01b9486914f9a7d4b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:mr_shek","2022-02-08T07:46:16Z"
"spotify:track:4E58fGVDk1d0DHUHLIrOoh","Mother","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","spotify:album:37KtRElyaLqFapZXmFhIdC","THE SCIENCE OF LETTING GO","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","2017-08-04","https://i.scdn.co/image/ab67616d0000b2737b66d3960fe7efcb7204774d","1","5","231400","https://p.scdn.co/mp3-preview/ae836139d5900a9d1c9a1e44ef51447b68404d86?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","spotify:user:mr_shek","2022-02-08T07:46:28Z"
"spotify:track:7eQHxigpuDJjCG50JyzU8v","Butterflies","spotify:artist:1bqxdqvUtPWZri43cKHac8, spotify:artist:4rTv3Ejc7hKMtmoBOK1B4T","MAX, Ali Gatie","spotify:album:4TENiEyNNnHbRixbSa0XKg","Butterflies","spotify:artist:1bqxdqvUtPWZri43cKHac8, spotify:artist:4rTv3Ejc7hKMtmoBOK1B4T","MAX, Ali Gatie","2021-06-25","https://i.scdn.co/image/ab67616d0000b2731b7c878bdc17d023295df222","1","1","191250","https://p.scdn.co/mp3-preview/f22a6a785f71592ee7e099c4c0596bc4a115e735?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:mr_shek","2022-02-08T07:47:00Z"
"spotify:track:3j5ZswTjrNasJnAQOQ1qNU","Useless","spotify:artist:44Ewva5aHOX00EwaX2D2mh, spotify:artist:3G9gR0x4v3J2Vek0Fw0yf2","Two Friends, Emily Vaughn","spotify:album:7kgsKh9Y9l5V46Scv1hLOz","Useless","spotify:artist:44Ewva5aHOX00EwaX2D2mh","Two Friends","2021-06-11","https://i.scdn.co/image/ab67616d0000b27316ae2dac30de0d7c925dd179","1","1","186340","https://p.scdn.co/mp3-preview/f71f5b73b828903e5ad28259f9c3af05c4b28b9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:mr_shek","2022-02-08T07:47:17Z"
"spotify:track:4ShxDU7CHNQVi2wwgSdqfF","Loving You Girl (feat. Hkeem)","spotify:artist:56zJ6PZ3mNPBiBqglW2KxL, spotify:artist:46XcyK8FnyCJJlvYCUwVZH","Peder Elias, Hkeem","spotify:album:7AzYuwYkahKXyZgBqBcBsG","Loving You Girl (feat. Hkeem)","spotify:artist:56zJ6PZ3mNPBiBqglW2KxL, spotify:artist:46XcyK8FnyCJJlvYCUwVZH","Peder Elias, Hkeem","2021-05-14","https://i.scdn.co/image/ab67616d0000b273e95414cc40e92d00fc16bb4a","1","1","171800","https://p.scdn.co/mp3-preview/3b1bdeb72ae34fe4f52d962060d985dea85d3edb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:mr_shek","2022-02-08T07:47:30Z"
"spotify:track:35x6JdLCr4VWWR5ShNoAWo","Bend Ova (feat. Tyga)","spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK, spotify:artist:5LHRHt1k9lMyONurDHEdrp","Lil Jon, Tyga","spotify:album:7hSGhpAzdMDnh1UVcwBomX","Bend Ova (feat. Tyga)","spotify:artist:7sfl4Xt5KmfyDs2T3SVSMK","Lil Jon","2014-07-22","https://i.scdn.co/image/ab67616d0000b2730f9b65ecb05f6afdc307fa12","1","1","226106","https://p.scdn.co/mp3-preview/68c9bc12674f66f79f0d967ea528f8e9f8ea5a79?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:mr_shek","2022-02-08T07:47:37Z"
"spotify:track:1vNn7rVQT6UtEW1NGH53fT","All Night Longer","spotify:artist:1S9WGrK7SZfXXQtHBYzDle","Sammy Adams","spotify:album:6WllyUCkaPD6rFK89jojFO","All Night Longer","spotify:artist:1S9WGrK7SZfXXQtHBYzDle","Sammy Adams","2012-08-20","https://i.scdn.co/image/ab67616d0000b273ecb183283d6b46115de516e6","1","1","177093","https://p.scdn.co/mp3-preview/5f8d887fc6fbd759324b451e277e2bd1cc91696c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:mr_shek","2022-02-08T07:47:50Z"
"spotify:track:7g2uEIBiSXUNkLmEUCv5nq","Cry Dancing","spotify:artist:5jAMCwdNHWr7JThxtMuEyy, spotify:artist:7AzjETXRUKNRSJHMW9GIqd","NOTD, Nina Nesbitt","spotify:album:6PLgk4A3mMtYCuYSwiQ4pl","Cry Dancing","spotify:artist:5jAMCwdNHWr7JThxtMuEyy, spotify:artist:7AzjETXRUKNRSJHMW9GIqd","NOTD, Nina Nesbitt","2020-07-17","https://i.scdn.co/image/ab67616d0000b273d0fd23dbfabf77a4cbca1f5b","1","1","179396","https://p.scdn.co/mp3-preview/2a928f5c7af9eb6be9fb1981522d2c32332fd679?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:mr_shek","2022-02-08T07:47:58Z"
"spotify:track:1pJzl0YsxaWj6BbPs1mUuQ","See Through","spotify:artist:6d4jrmreCmsenscuieJERc","The Band CAMINO","spotify:album:6rbqqMTScIBxRBlM7DayP1","tryhard","spotify:artist:6d4jrmreCmsenscuieJERc","The Band CAMINO","2019-08-23","https://i.scdn.co/image/ab67616d0000b273f232b955ad8637ecd04bfdf7","1","5","181420","https://p.scdn.co/mp3-preview/afdda17413a3a2ff31205e000396961ded89456f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:mr_shek","2022-02-08T07:48:12Z"
